Theta,Counts
-0.2,4343
-0.192,4878
-0.184,5182
-0.176,5771
-0.168,6603
-0.16,7545
-0.152,8807
-0.144,10824
-0.136,12209
-0.128,14196
-0.12,17322
-0.112,20413
-0.104,26754
-0.096,36213
-0.088,47205
-0.08,63177
-0.072,90624
-0.064,129933
-0.056,179843
-0.048,265495
-0.04,301314
-0.032,327352
-0.024,344559
-0.016,383806
-0.008,434571
0.0,468912
0.008,457623
0.016,408296
0.024,315834
0.032,225079
0.04,151483
0.048,101061
0.056,86605
0.064,73683
0.072,57598
0.08,45307
0.088,38619
0.096,35211
0.104,28328
0.112,22630
0.12,19581
0.128,16023
0.136,14758
0.144,15493
0.152,14243
0.16,12670
0.168,12641
0.176,9726
0.184,5098
0.192,3342
0.2,2922
